state,party,finance.better,child.indep,child.curio,child.obed,child.consid,year,Religion,President
27,3,NA,5,5,1,3,2000,NA,George W. Bush
26,5,NA,5,3,5,1,2000,NA,NA
17,1,NA,5,5,1,1,2000,NA,Al Gore
23,3,3,5,5,1,5,2000,NA,Al Gore
25,2,4,5,5,5,1,2000,Catholic,George W. Bush
25,1,NA,5,5,5,5,2000,NA,Al Gore
42,2,3,5,5,1,5,2000,NA,NA
34,1,NA,1,1,5,1,2000,Protestant,Al Gore
36,1,3,3,3,3,3,2000,NA,Al Gore
19,1,3,3,3,3,3,2000,Catholic,Al Gore
42,2,3,5,1,5,1,2000,NA,Al Gore
42,1,NA,5,5,1,5,2000,Catholic,NA
18,3,NA,NA,NA,NA,NA,2000,NA,NA
26,3,3,5,5,1,5,2000,NA,George W. Bush
55,3,3,3,3,3,3,2000,NA,Al Gore
6,2,NA,5,5,1,1,2000,NA,George W. Bush
6,2,NA,5,1,1,1,2000,NA,NA
51,1,3,5,5,1,5,2000,NA,Al Gore
45,1,2,3,5,1,5,2000,NA,NA
51,2,NA,NA,NA,NA,NA,2000,NA,NA
19,3,3,5,5,1,5,2000,NA,George W. Bush
8,3,2,5,5,1,1,2000,NA,George W. Bush
6,1,3,1,5,5,1,2000,Other Religion,Al Gore
26,1,NA,5,1,1,5,2000,NA,Al Gore
41,2,NA,5,5,1,5,2000,NA,George W. Bush
29,3,NA,NA,NA,NA,NA,2000,NA,NA
6,1,NA,NA,NA,NA,NA,2000,NA,NA
51,2,3,5,3,1,3,2000,NA,George W. Bush
12,3,NA,5,5,1,5,2000,Protestant,Al Gore
12,3,NA,5,5,1,5,2000,NA,George W. Bush
5,2,NA,5,5,1,1,2000,NA,George W. Bush
12,1,NA,5,1,1,1,2000,NA,Al Gore
48,1,NA,NA,NA,NA,NA,2000,NA,NA
21,3,NA,5,5,1,5,2000,Catholic,George W. Bush
28,5,NA,NA,NA,NA,NA,2000,NA,NA
53,3,NA,NA,NA,NA,NA,2000,NA,NA
48,3,NA,1,1,5,1,2000,NA,NA
12,2,3,5,3,5,1,2000,Protestant,NA
48,3,NA,5,1,1,1,2000,Protestant,NA
13,1,NA,5,5,1,5,2000,NA,Al Gore
24,2,NA,5,5,1,5,2000,NA,George W. Bush
6,1,1,1,5,1,1,2000,NA,Al Gore
42,1,NA,5,5,5,5,2000,Catholic,George W. Bush
4,1,3,5,3,1,3,2000,Catholic,NA
36,3,3,5,5,1,5,2000,NA,George W. Bush
6,1,1,3,3,3,3,2000,NA,Al Gore
39,3,3,1,1,5,1,2000,NA,Al Gore
47,1,2,1,5,1,5,2000,NA,NA
36,2,NA,NA,NA,NA,NA,2000,Catholic,NA
29,2,NA,5,5,5,1,2000,NA,George W. Bush
28,1,1,5,5,1,5,2000,NA,Al Gore
48,2,3,5,5,1,1,2000,Other Religion,George W. Bush
26,2,NA,1,1,5,1,2000,NA,George W. Bush
42,1,NA,5,5,5,1,2000,Jewish,NA
42,3,NA,1,1,5,1,2000,NA,Al Gore
22,2,NA,5,3,1,3,2000,NA,George W. Bush
40,2,3,5,5,1,5,2000,NA,George W. Bush
45,1,2,5,3,5,1,2000,NA,Al Gore
40,1,NA,5,5,1,1,2000,NA,Al Gore
6,2,NA,NA,NA,NA,NA,2000,NA,NA
12,3,NA,NA,NA,NA,NA,2000,NA,NA
12,3,NA,5,5,1,1,2000,NA,George W. Bush
48,5,3,5,5,1,1,2000,NA,George W. Bush
48,5,2,5,5,5,1,2000,NA,George W. Bush
56,2,NA,5,5,1,5,2000,NA,George W. Bush
9,1,NA,1,1,5,1,2000,NA,Al Gore
39,3,2,5,1,1,1,2000,NA,Al Gore
