state,party,finance.better,child.indep,child.curio,child.obed,child.consid,women.favors,women.comp,women.hire,year,Religion,President
1,3,2,5,5,1,1,2,4,1,2008,NA,John McCain
1,1,3,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
1,2,2,3,3,3,3,5,5,1,2008,Protestant,John McCain
1,5,3,3,3,7,5,2,1,2,2008,Catholic,NA
1,2,4,5,5,1,1,3,3,2,2008,Protestant,John McCain
1,2,3,NA,NA,NA,NA,NA,NA,NA,2008,Protestant,NA
1,3,3,5,3,1,3,5,4,2,2008,Protestant,John McCain
1,5,2,5,5,1,1,3,3,2,2008,Protestant,John McCain
1,2,2,5,5,5,5,3,3,4,2008,Protestant,John McCain
1,1,4,5,5,1,5,2,4,2,2008,Protestant,Barack Obama
1,3,3,3,5,3,1,5,2,2,2008,Protestant,John McCain
1,2,4,5,5,1,5,2,3,2,2008,Protestant,John McCain
1,2,3,5,5,5,5,2,3,4,2008,Protestant,John McCain
1,2,2,1,5,5,1,3,2,2,2008,Protestant,John McCain
1,3,4,1,5,5,5,4,3,1,2008,Protestant,John McCain
1,3,4,1,1,5,1,5,5,2,2008,Catholic,John McCain
1,1,5,5,5,1,5,5,5,1,2008,Protestant,NA
1,3,3,5,5,1,5,3,4,2,2008,Protestant,NA
1,1,3,1,1,5,1,5,5,2,2008,Catholic,John McCain
1,2,2,5,3,3,3,3,2,4,2008,Protestant,John McCain
1,3,2,5,5,5,1,5,5,1,2008,Protestant,Barack Obama
1,3,4,3,5,5,5,1,4,4,2008,Protestant,NA
4,1,1,5,5,1,5,4,4,1,2008,Catholic,Barack Obama
4,1,3,3,3,1,3,5,2,2,2008,Protestant,Barack Obama
4,1,3,3,5,3,3,5,5,1,2008,Catholic,Barack Obama
4,1,5,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA
4,4,5,5,5,1,5,5,5,4,2008,Catholic,NA
4,1,2,5,3,5,3,2,5,5,2008,Protestant,John McCain
4,1,1,5,5,5,1,4,4,1,2008,NA,NA
4,3,5,5,5,1,5,3,3,3,2008,Catholic,Barack Obama
4,2,4,1,5,5,1,2,2,2,2008,Protestant,John McCain
4,2,2,5,5,1,5,4,2,1,2008,Catholic,John McCain
4,2,1,5,1,5,1,3,4,2,2008,Catholic,John McCain
4,3,5,5,5,5,1,5,5,1,2008,Protestant,Barack Obama
4,3,5,1,1,5,1,3,3,3,2008,NA,Barack Obama
4,3,1,5,1,5,1,3,4,2,2008,Protestant,NA
4,3,3,1,5,5,1,5,3,5,2008,Not Religious,Barack Obama
4,1,4,5,5,1,5,4,3,2,2008,Catholic,Barack Obama
4,1,3,5,5,5,5,3,3,2,2008,Catholic,Barack Obama
4,1,4,3,3,3,3,4,5,1,2008,Jewish,Barack Obama
4,1,5,5,1,1,5,3,3,1,2008,Protestant,Barack Obama
4,3,1,5,5,1,5,1,3,1,2008,NA,NA
4,1,4,5,1,1,1,5,4,2,2008,Catholic,John McCain
4,4,2,1,1,5,1,5,5,1,2008,NA,Barack Obama
4,2,4,3,3,3,3,4,2,2,2008,Catholic,NA
4,NA,3,3,3,3,3,2,5,2,2008,NA,NA
4,1,2,5,5,1,5,3,3,2,2008,Protestant,Barack Obama
4,3,4,1,1,5,1,5,4,2,2008,NA,Barack Obama
4,2,2,5,1,5,1,2,3,3,2008,Protestant,John McCain
4,1,1,5,5,5,5,2,5,1,2008,Catholic,NA
4,1,4,5,1,5,1,5,5,1,2008,NA,Barack Obama
4,3,5,5,1,5,1,2,2,2,2008,NA,Barack Obama
4,2,2,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA
4,3,4,5,5,5,1,5,5,2,2008,NA,Barack Obama
4,2,4,5,5,5,1,4,3,3,2008,Protestant,Barack Obama
