party,state,finance.better,vote.method,child.indep,child.curio,child.obed,child.consid,us.world,us.better,rural.govt,rural.infl,rural.resp,women.child,women.work,women.favors,women.comp,year,Religion,President
2,40,3,NA,2,2,2,1,2,1,4,6,7,1,4,5,4,2020,Other Religion,NA
4,16,5,NA,2,2,2,1,4,3,4,6,4,4,4,4,4,2020,Not Religious,Jorgensen
NA,51,3,NA,1,1,2,1,3,3,6,1,6,4,4,5,4,2020,Other Religion,Biden
2,6,3,NA,2,2,1,2,3,1,4,4,4,7,2,3,2,2020,Roman Catholic,Biden
4,8,3,NA,1,1,2,1,5,3,5,6,6,4,4,2,2,2020,Not Religious,Trump
NA,48,3,NA,2,2,2,1,3,3,4,4,4,4,4,4,4,2020,Not Religious,Biden
NA,55,5,NA,1,2,1,1,5,3,4,4,6,7,2,4,3,2020,Evangelical,Trump
NA,NA,5,NA,2,2,1,2,1,1,4,4,4,4,4,4,5,2020,Evangelical,NA
4,4,3,2,2,2,1,2,2,1,4,2,4,4,4,5,5,2020,Evangelical,NA
4,6,4,NA,2,1,1,1,5,4,6,4,4,6,4,4,3,2020,Not Religious,Biden
1,24,2,NA,2,2,1,2,5,5,3,5,6,6,4,4,4,2020,Other Christian,Biden
NA,55,1,NA,2,2,2,1,4,2,4,4,4,4,4,5,5,2020,Other Christian,Biden
2,NA,4,NA,2,2,2,1,3,5,4,4,4,4,4,3,2,2020,Other Christian,Trump
NA,51,4,2,2,1,2,1,5,4,4,4,4,4,4,5,5,2020,Other Religion,NA
1,NA,3,NA,2,2,1,2,5,3,4,4,4,4,4,4,4,2020,Undifferentiated Protestant,NA
2,NA,3,NA,2,2,2,1,3,1,4,6,4,4,2,2,4,2020,Roman Catholic,NA
4,25,3,NA,1,1,2,1,4,4,4,2,5,7,1,5,5,2020,Roman Catholic,Biden
1,33,3,2,2,1,2,1,4,2,4,4,4,4,6,5,4,2020,Roman Catholic,NA
5,32,3,NA,1,1,2,1,4,3,4,3,4,6,4,5,5,2020,Roman Catholic,Biden
