party,state,finance.better,vote.method,child.indep,child.curio,child.obed,child.consid,us.world,us.better,rural.govt,rural.infl,rural.resp,women.child,women.work,women.favors,women.comp,year,Religion,President,women.media,women.disc,women.hire,women.opp
2,40,3,NA,2,2,2,1,2,1,4,6,7,1,4,5,4,2020,Other Religion,NA,NA,NA,NA,NA
4,16,5,NA,2,2,2,1,4,3,4,6,4,4,4,4,4,2020,Not Religious,Jorgensen,NA,NA,NA,NA
NA,51,3,NA,1,1,2,1,3,3,6,1,6,4,4,5,4,2020,Other Religion,Biden,NA,NA,NA,NA
2,6,3,NA,2,2,1,2,3,1,4,4,4,7,2,3,2,2020,Roman Catholic,Biden,NA,NA,NA,NA
4,8,3,NA,1,1,2,1,5,3,5,6,6,4,4,2,2,2020,Not Religious,Trump,NA,NA,NA,NA
NA,48,3,NA,2,2,2,1,3,3,4,4,4,4,4,4,4,2020,Not Religious,Biden,NA,NA,NA,NA
NA,55,5,NA,1,2,1,1,5,3,4,4,6,7,2,4,3,2020,Evangelical,Trump,NA,NA,NA,NA
NA,NA,5,NA,2,2,1,2,1,1,4,4,4,4,4,4,5,2020,Evangelical,NA,NA,NA,NA,NA
4,4,3,2,2,2,1,2,2,1,4,2,4,4,4,5,5,2020,Evangelical,NA,NA,NA,NA,NA
4,6,4,NA,2,1,1,1,5,4,6,4,4,6,4,4,3,2020,Not Religious,Biden,NA,NA,NA,NA
1,24,2,NA,2,2,1,2,5,5,3,5,6,6,4,4,4,2020,Other Christian,Biden,NA,NA,NA,NA
NA,55,1,NA,2,2,2,1,4,2,4,4,4,4,4,5,5,2020,Other Christian,Biden,NA,NA,NA,NA
2,NA,4,NA,2,2,2,1,3,5,4,4,4,4,4,3,2,2020,Other Christian,Trump,NA,NA,NA,NA
NA,51,4,2,2,1,2,1,5,4,4,4,4,4,4,5,5,2020,Other Religion,NA,NA,NA,NA,NA
1,NA,3,NA,2,2,1,2,5,3,4,4,4,4,4,4,4,2020,Undifferentiated Protestant,NA,NA,NA,NA,NA
2,NA,3,NA,2,2,2,1,3,1,4,6,4,4,2,2,4,2020,Roman Catholic,NA,NA,NA,NA,NA
4,25,3,NA,1,1,2,1,4,4,4,2,5,7,1,5,5,2020,Roman Catholic,Biden,NA,NA,NA,NA
1,33,3,2,2,1,2,1,4,2,4,4,4,4,6,5,4,2020,Roman Catholic,NA,NA,NA,NA,NA
5,32,3,NA,1,1,2,1,4,3,4,3,4,6,4,5,5,2020,Roman Catholic,Biden,NA,NA,NA,NA
NA,55,3,NA,1,1,2,1,3,2,4,2,6,6,4,4,4,2020,Roman Catholic,Biden,NA,NA,NA,NA
2,42,3,NA,2,2,2,2,2,2,6,6,6,6,4,3,4,2020,Roman Catholic,NA,NA,NA,NA,NA
1,6,5,NA,2,1,2,1,5,2,5,5,4,4,4,5,5,2020,Roman Catholic,Biden,NA,NA,NA,NA
1,36,3,NA,1,2,2,1,2,2,1,2,5,4,4,4,4,2020,Not Religious,Biden,NA,NA,NA,NA
4,4,3,NA,1,2,2,1,3,3,4,4,4,4,4,3,3,2020,Other Christian,NA,NA,NA,NA,NA
NA,NA,4,NA,2,2,1,2,3,1,5,5,4,5,4,4,5,2020,Roman Catholic,NA,NA,NA,NA,NA
NA,13,4,NA,2,1,2,1,4,2,4,4,4,6,4,4,5,2020,Mainline,Biden,NA,NA,NA,NA
1,37,3,NA,2,2,1,1,3,1,6,4,6,4,4,5,4,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA
NA,51,3,NA,2,1,2,1,3,1,5,6,6,6,4,4,4,2020,Roman Catholic,Trump,NA,NA,NA,NA
2,36,3,NA,1,1,2,1,4,2,2,1,6,6,4,5,4,2020,Roman Catholic,Biden,NA,NA,NA,NA
1,4,2,NA,1,2,1,2,5,3,4,4,4,7,2,4,4,2020,Not Religious,Biden,NA,NA,NA,NA
NA,15,3,NA,2,2,1,1,4,5,7,7,4,6,7,3,4,2020,Other Christian,NA,NA,NA,NA,NA
NA,NA,4,NA,1,1,2,1,3,1,7,4,4,7,4,5,4,2020,NA,NA,NA,NA,NA,NA
1,16,4,NA,1,1,2,1,4,2,3,2,4,4,4,4,4,2020,Mainline,Biden,NA,NA,NA,NA
NA,55,2,NA,2,1,2,2,2,1,7,6,7,4,4,4,4,2020,Mainline,Trump,NA,NA,NA,NA
4,36,4,NA,1,1,2,1,5,1,4,4,4,4,4,5,5,2020,Roman Catholic,Biden,NA,NA,NA,NA
NA,48,3,NA,2,1,2,1,3,2,4,4,4,4,4,5,5,2020,Mainline,Trump,NA,NA,NA,NA
NA,17,3,NA,2,1,1,1,2,2,5,7,5,7,1,3,5,2020,Evangelical,Biden,NA,NA,NA,NA
NA,39,4,NA,1,1,2,1,5,4,7,2,5,4,4,5,5,2020,Not Religious,Biden,NA,NA,NA,NA
1,5,3,NA,1,1,2,1,5,4,4,2,5,6,4,4,4,2020,Not Religious,Biden,NA,NA,NA,NA
NA,13,3,NA,1,1,2,1,3,2,4,NA,6,4,2,5,5,2020,Mainline,Trump,NA,NA,NA,NA
NA,48,1,NA,2,2,1,2,3,2,NA,6,5,4,4,4,4,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA
1,42,4,NA,2,2,2,1,3,5,4,4,4,4,4,3,3,2020,Mainline,Biden,NA,NA,NA,NA
2,35,2,NA,1,1,2,1,5,1,4,7,7,6,4,2,4,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA
2,20,2,NA,1,2,2,1,2,1,4,5,4,5,7,5,5,2020,Evangelical,Trump,NA,NA,NA,NA
4,6,3,NA,2,1,2,1,3,2,4,4,4,6,4,5,4,2020,Not Religious,Trump,NA,NA,NA,NA
NA,29,3,NA,1,2,1,2,3,3,4,6,6,4,7,3,3,2020,Mainline,Trump,NA,NA,NA,NA
1,42,3,NA,2,1,2,1,3,2,4,4,5,7,1,2,3,2020,Roman Catholic,Biden,NA,NA,NA,NA
NA,27,3,NA,1,1,2,1,5,3,3,1,3,6,4,5,5,2020,Not Religious,Biden,NA,NA,NA,NA
2,6,2,NA,2,1,1,1,4,3,6,6,4,4,2,3,4,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA
NA,29,2,NA,1,1,2,1,3,1,4,4,4,7,4,4,4,2020,Roman Catholic,Biden,NA,NA,NA,NA
NA,48,4,1,2,2,1,2,3,1,6,6,4,6,1,5,3,2020,Other Christian,NA,NA,NA,NA,NA
NA,51,2,NA,2,1,2,1,5,2,6,1,2,4,4,5,5,2020,Other Religion,Biden,NA,NA,NA,NA
NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Evangelical,NA,NA,NA,NA,NA
2,NA,3,NA,2,2,2,2,3,2,4,7,7,6,7,3,3,2020,Evangelical,NA,NA,NA,NA,NA
1,42,3,NA,2,2,1,2,3,3,6,7,7,4,4,2,2,2020,Roman Catholic,Jorgensen,NA,NA,NA,NA
2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Mainline,NA,NA,NA,NA,NA
NA,13,3,NA,2,2,1,1,3,3,5,4,5,5,4,5,4,2020,Roman Catholic,Biden,NA,NA,NA,NA
1,36,4,NA,1,1,2,1,4,3,4,1,7,5,4,4,5,2020,Jewish,Biden,NA,NA,NA,NA
NA,39,4,NA,2,2,2,2,3,4,6,6,6,6,4,4,4,2020,Not Religious,Biden,NA,NA,NA,NA
NA,48,4,NA,2,2,1,1,3,4,4,6,6,5,3,4,4,2020,Evangelical,Trump,NA,NA,NA,NA
NA,NA,3,NA,2,2,1,1,4,3,4,2,6,4,4,5,5,2020,Roman Catholic,Biden,NA,NA,NA,NA
NA,30,5,NA,2,2,2,2,5,4,6,4,4,4,4,5,5,2020,Not Religious,NA,NA,NA,NA,NA
NA,47,3,NA,2,1,2,1,5,3,4,4,4,4,6,5,5,2020,Roman Catholic,Biden,NA,NA,NA,NA
1,22,3,NA,1,1,2,1,5,4,6,3,4,7,7,5,5,2020,Not Religious,Biden,NA,NA,NA,NA
4,34,2,NA,2,1,2,1,3,1,4,4,4,6,4,4,4,2020,Roman Catholic,Biden,NA,NA,NA,NA
4,6,3,NA,2,1,1,1,1,3,4,4,6,4,1,5,2,2020,Evangelical,Biden,NA,NA,NA,NA
4,6,2,NA,1,2,2,1,3,2,4,4,4,7,1,4,4,2020,Other Christian,Biden,NA,NA,NA,NA
