party,state,score,year,child_score,women_score,foreign_score,rural_score,financial,absentee
Republican,oklahoma,0.528461538461538,2020,0.5,0.19,0.875,0.7866666666666666,0.5,NA
Independent,idaho,0.472307692307692,2020,0.5,0.38,0.375,0.6233333333333333,1,NA
NA,virginia,0.305384615384615,2020,0,0.3175,0.5,0.5666666666666667,0.5,NA
Republican,california,0.779230769230769,2020,1,0.775,0.75,0.51,0.5,NA
Independent,colorado,0.415384615384615,2020,0,0.63,0.25,0.7933333333333333,0.5,NA
NA,texas,0.465384615384615,2020,0.5,0.38,0.5,0.51,0.5,NA
NA,wisconsin,0.536153846153846,2020,0.5,0.65,0.25,0.6233333333333333,1,NA
NA,NA,0.676923076923077,2020,1,0.3175,1,0.51,1,NA
Independent,arizona,0.612307692307692,2020,1,0.255,0.875,0.39666666666666667,0.5,1
Independent,california,0.479230769230769,2020,0.5,0.5275,0.125,0.6233333333333333,0.75,NA
Democrat,maryland,0.594615384615385,2020,1,0.46499999999999997,0,0.6233333333333333,0.25,NA
NA,wisconsin,0.426923076923077,2020,0.5,0.255,0.5,0.51,0,NA
Republican,NA,0.484615384615385,2020,0.5,0.5675,0.25,0.51,0.75,NA
NA,virginia,0.292307692307692,2020,0.25,0.255,0.125,0.51,0.75,1
Democrat,NA,0.580769230769231,2020,1,0.38,0.25,0.51,0.5,NA
Republican,NA,0.594615384615385,2020,0.5,0.59,0.75,0.6233333333333333,0.5,NA
Independent,massachusetts,0.296923076923077,2020,0,0.5,0.25,0.45333333333333337,0.5,NA
Democrat,new hampshire,0.343076923076923,2020,0.25,0.2325,0.5,0.51,0.5,1
Independent,nevada,0.266923076923077,2020,0,0.33999999999999997,0.375,0.45333333333333337,0.5,NA
NA,wisconsin,0.356923076923077,2020,0,0.46499999999999997,0.625,0.51,0.5,NA
Republican,pennsylvania,0.704615384615385,2020,0.75,0.5275,0.75,0.85,0.5,NA
Democrat,california,0.356923076923077,2020,0.25,0.255,0.375,0.6233333333333334,1,NA
Democrat,new york,0.374615384615385,2020,0.25,0.38,0.75,0.2833333333333333,0.5,NA
Independent,arizona,0.426923076923077,2020,0.25,0.505,0.5,0.51,0.5,NA
NA,NA,0.677692307692308,2020,1,0.36,0.75,0.6233333333333334,0.75,NA
NA,georgia,0.395384615384615,2020,0.25,0.40249999999999997,0.5,0.51,0.75,NA
Democrat,north carolina,0.613846153846154,2020,0.75,0.3175,0.75,0.7366666666666667,0.5,NA
NA,virginia,0.518461538461538,2020,0.25,0.46499999999999997,0.75,0.7933333333333333,0.5,NA
Republican,new york,0.279230769230769,2020,0,0.40249999999999997,0.5,0.33999999999999997,0.5,NA
Democrat,arizona,0.567692307692308,2020,0.75,0.5875,0.25,0.51,0.25,NA
NA,hawaii,0.566153846153846,2020,0.75,0.4,0.125,0.8366666666666667,0.5,NA
NA,NA,0.406153846153846,2020,0,0.44,0.75,0.6733333333333333,0.75,NA
Democrat,idaho,0.272307692307692,2020,0,0.38,0.5,0.34,0.75,NA
NA,wisconsin,0.624615384615385,2020,0.5,0.38,0.875,0.95,0.25,NA
Independent,new york,0.273076923076923,2020,0,0.255,0.5,0.51,0.75,NA
NA,texas,0.369230769230769,2020,0.25,0.255,0.625,0.51,0.5,NA
NA,illinois,0.643076923076923,2020,0.5,0.625,0.75,0.7866666666666667,0.5,NA
NA,ohio,0.24,2020,0,0.255,0.125,0.6166666666666667,0.75,NA
Democrat,arkansas,0.266923076923077,2020,0,0.46499999999999997,0.125,0.45333333333333337,0.5,NA
NA,georgia,0.330833333333333,2020,0,0.33999999999999997,0.625,0.6799999999999999,0.5,NA
NA,texas,0.691666666666667,2020,1,0.38,0.625,0.765,0,NA
Democrat,pennsylvania,0.465384615384615,2020,0.5,0.505,0.25,0.51,0.75,NA
Republican,new mexico,0.451538461538462,2020,0,0.59,0.5,0.8366666666666667,0.25,NA
Republican,kansas,0.394615384615385,2020,0.25,0.17,0.875,0.5666666666666667,0.25,NA
Independent,california,0.414615384615385,2020,0.25,0.40249999999999997,0.625,0.51,0.5,NA
NA,missouri,0.593846153846154,2020,0.75,0.3775,0.5,0.7366666666666667,0.5,NA
Democrat,pennsylvania,0.553846153846154,2020,0.25,0.8125,0.625,0.5666666666666667,0.5,NA
NA,minnesota,0.195384615384615,2020,0,0.33999999999999997,0.25,0.22666666666666668,0.5,NA
Republican,california,0.543846153846154,2020,0.5,0.5275,0.375,0.7366666666666667,0.25,NA
NA,missouri,0.387692307692308,2020,0,0.5025,0.75,0.51,0.25,NA
NA,texas,0.773846153846154,2020,1,0.5875,0.75,0.7366666666666667,0.75,0
NA,virginia,0.291538461538462,2020,0.25,0.255,0.375,0.33999999999999997,0.25,NA
NA,NA,NA,2020,NA,NA,NA,NA,0.75,NA
Republican,NA,0.662307692307692,2020,0.75,0.4625,0.625,0.8366666666666667,0.5,NA
Democrat,pennsylvania,0.797692307692308,2020,1,0.63,0.5,0.95,0.5,NA
Republican,arizona,NA,2020,NA,NA,NA,NA,0.25,NA
NA,georgia,0.562307692307692,2020,0.75,0.36,0.5,0.6233333333333334,0.5,NA
Democrat,new york,0.284615384615385,2020,0,0.36,0.375,0.5033333333333333,0.75,NA
NA,ohio,0.627692307692308,2020,0.75,0.46499999999999997,0.375,0.85,0.75,NA
NA,texas,0.601538461538462,2020,0.75,0.465,0.375,0.7366666666666667,0.75,NA
NA,NA,0.484615384615385,2020,0.75,0.255,0.375,0.51,0.5,NA
NA,montana,0.472307692307692,2020,0.75,0.255,0.125,0.6233333333333333,1,NA
NA,tennessee,0.285384615384615,2020,0.25,0.17,0.25,0.51,0.5,NA
Democrat,louisiana,0.226923076923077,2020,0,0.25,0.125,0.5666666666666667,0.5,NA
Independent,new jersey,0.453076923076923,2020,0.25,0.46499999999999997,0.75,0.51,0.25,NA
Independent,california,0.586923076923077,2020,0.5,0.565,0.75,0.6233333333333333,0.5,NA
Independent,california,0.483076923076923,2020,0.25,0.625,0.625,0.51,0.25,NA
Democrat,california,0.117692307692308,2020,0,0.255,0,0.17,0.5,NA
Democrat,colorado,0.343846153846154,2020,0.25,0.40249999999999997,0.25,0.4533333333333333,0.5,NA
NA,illinois,0.49,2020,0.5,0.38,0,0.95,0.75,NA
Democrat,california,0.273076923076923,2020,0,0.255,0.5,0.51,0.5,NA
NA,minnesota,0.678461538461538,2020,1,0.3175,0.5,0.85,0.5,NA
NA,minnesota,0.64,2020,1,0.33999999999999997,0.375,0.7366666666666667,0.75,1
Democrat,pennsylvania,0.568461538461538,2020,0.75,0.38,0.5,0.6233333333333333,0.5,NA
Republican,pennsylvania,0.588461538461538,2020,0.5,0.38,0.875,0.7933333333333333,0.5,NA
NA,NA,0.554615384615385,2020,0.75,0.4825,0.375,0.51,0.75,NA
Democrat,new york,0.501538461538461,2020,1,0.3175,0.125,0.3333333333333333,0.75,NA
Democrat,pennsylvania,0.505384615384615,2020,0.25,0.4875,0.875,0.6233333333333333,0.5,NA
Independent,florida,0.712307692307692,2020,0.5,0.565,1,1,0.25,NA
NA,texas,0.683846153846154,2020,1,0.5275000000000001,0.625,0.51,0.25,NA
Democrat,oklahoma,0.458461538461538,2020,0,0.46499999999999997,0.625,0.95,0,NA
Republican,arizona,0.664615384615385,2020,0.75,0.5875,0.625,0.68,0.25,NA
Democrat,delaware,0.536923076923077,2020,0.5,0.42000000000000004,0.375,0.85,0.5,NA
Independent,washington dc,0.465384615384615,2020,0.75,0.38,0,0.51,0.25,NA
NA,indiana,0.336923076923077,2020,0.25,0.255,0,0.7866666666666666,0.75,NA
Democrat,nevada,0.728461538461538,2020,0.75,0.6325000000000001,0.875,0.73,0.5,NA
Independent,florida,0.614615384615385,2020,0.75,0.46499999999999997,0.375,0.7933333333333333,0.5,NA
Independent,west virginia,0.426923076923077,2020,0.25,0.38,0.75,0.51,0.5,NA
Republican,massachusetts,0.652307692307692,2020,1,0.255,0.625,0.7366666666666667,0.5,NA
NA,ohio,0.675384615384615,2020,0.75,0.75,0.625,0.51,0.5,NA
