party,state,finance.better,vote.method,child.indep,child.curio,child.obed,child.consid,us.world,us.better,rural.govt,rural.infl,rural.resp,women.child,women.work,women.favors,women.comp,year,Religion,President,women.media,women.disc,women.hire,women.opp,score
Republican,oklahoma,3,NA,1,1,0,0,0.75,1,0.51,0.85,1,0,0.51,0,0.25,2020,Other Religion,NA,NA,NA,NA,NA,0.528461538461538
Independent,idaho,5,NA,1,1,0,0,0.25,0.5,0.51,0.85,0.51,0.51,0.51,0.25,0.25,2020,Not Religious,Jorgensen,NA,NA,NA,NA,0.472307692307692
NA,virginia,3,NA,0,0,0,0,0.5,0.5,0.85,0,0.85,0.51,0.51,0,0.25,2020,Other Religion,Biden,NA,NA,NA,NA,0.305384615384615
Republican,california,3,NA,1,1,1,1,0.5,1,0.51,0.51,0.51,1,0.85,0.5,0.75,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.779230769230769
Independent,colorado,3,NA,0,0,0,0,0,0.5,0.68,0.85,0.85,0.51,0.51,0.75,0.75,2020,Not Religious,Trump,NA,NA,NA,NA,0.415384615384615
NA,texas,3,NA,1,1,0,0,0.5,0.5,0.51,0.51,0.51,0.51,0.51,0.25,0.25,2020,Not Religious,Biden,NA,NA,NA,NA,0.465384615384615
NA,wisconsin,5,NA,0,1,1,0,0,0.5,0.51,0.51,0.85,1,0.85,0.25,0.5,2020,Evangelical,Trump,NA,NA,NA,NA,0.536153846153846
NA,NA,5,NA,1,1,1,1,1,1,0.51,0.51,0.51,0.51,0.51,0.25,0,2020,Evangelical,NA,NA,NA,NA,NA,0.676923076923077
Independent,arizona,3,2,1,1,1,1,0.75,1,0.51,0.17,0.51,0.51,0.51,0,0,2020,Evangelical,NA,NA,NA,NA,NA,0.612307692307692
Independent,california,4,NA,1,0,1,0,0,0.25,0.85,0.51,0.51,0.85,0.51,0.25,0.5,2020,Not Religious,Biden,NA,NA,NA,NA,0.479230769230769
Democrat,maryland,2,NA,1,1,1,1,0,0,0.34,0.68,0.85,0.85,0.51,0.25,0.25,2020,Other Christian,Biden,NA,NA,NA,NA,0.594615384615385
NA,wisconsin,1,NA,1,1,0,0,0.25,0.75,0.51,0.51,0.51,0.51,0.51,0,0,2020,Other Christian,Biden,NA,NA,NA,NA,0.426923076923077
Republican,NA,4,NA,1,1,0,0,0.5,0,0.51,0.51,0.51,0.51,0.51,0.5,0.75,2020,Other Christian,Trump,NA,NA,NA,NA,0.484615384615385
NA,virginia,4,2,1,0,0,0,0,0.25,0.51,0.51,0.51,0.51,0.51,0,0,2020,Other Religion,NA,NA,NA,NA,NA,0.292307692307692
Democrat,NA,3,NA,1,1,1,1,0,0.5,0.51,0.51,0.51,0.51,0.51,0.25,0.25,2020,Undifferentiated Protestant,NA,NA,NA,NA,NA,0.580769230769231
Republican,NA,3,NA,1,1,0,0,0.5,1,0.51,0.85,0.51,0.51,0.85,0.75,0.25,2020,Roman Catholic,NA,NA,NA,NA,NA,0.594615384615385
Independent,massachusetts,3,NA,0,0,0,0,0.25,0.25,0.51,0.17,0.68,1,1,0,0,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.296923076923077
Democrat,new hampshire,3,2,1,0,0,0,0.25,0.75,0.51,0.51,0.51,0.51,0.17,0,0.25,2020,Roman Catholic,NA,NA,NA,NA,NA,0.343076923076923
Independent,nevada,3,NA,0,0,0,0,0.25,0.5,0.51,0.34,0.51,0.85,0.51,0,0,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.266923076923077
NA,wisconsin,3,NA,0,0,0,0,0.5,0.75,0.51,0.17,0.85,0.85,0.51,0.25,0.25,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.356923076923077
Republican,pennsylvania,3,NA,1,1,0,1,0.75,0.75,0.85,0.85,0.85,0.85,0.51,0.5,0.25,2020,Roman Catholic,NA,NA,NA,NA,NA,0.704615384615385
Democrat,california,5,NA,1,0,0,0,0,0.75,0.68,0.68,0.51,0.51,0.51,0,0,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.356923076923077
Democrat,new york,3,NA,0,1,0,0,0.75,0.75,0,0.17,0.68,0.51,0.51,0.25,0.25,2020,Not Religious,Biden,NA,NA,NA,NA,0.374615384615385
Independent,arizona,3,NA,0,1,0,0,0.5,0.5,0.51,0.51,0.51,0.51,0.51,0.5,0.5,2020,Other Christian,NA,NA,NA,NA,NA,0.426923076923077
NA,NA,4,NA,1,1,1,1,0.5,1,0.68,0.68,0.51,0.68,0.51,0.25,0,2020,Roman Catholic,NA,NA,NA,NA,NA,0.677692307692308
NA,georgia,4,NA,1,0,0,0,0.25,0.75,0.51,0.51,0.51,0.85,0.51,0.25,0,2020,Mainline,Biden,NA,NA,NA,NA,0.395384615384615
Democrat,north carolina,3,NA,1,1,1,0,0.5,1,0.85,0.51,0.85,0.51,0.51,0,0.25,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA,0.613846153846154
NA,virginia,3,NA,1,0,0,0,0.5,1,0.68,0.85,0.85,0.85,0.51,0.25,0.25,2020,Roman Catholic,Trump,NA,NA,NA,NA,0.518461538461538
Republican,new york,3,NA,0,0,0,0,0.25,0.75,0.17,0,0.85,0.85,0.51,0,0.25,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.279230769230769
Democrat,arizona,2,NA,0,1,1,1,0,0.5,0.51,0.51,0.51,1,0.85,0.25,0.25,2020,Not Religious,Biden,NA,NA,NA,NA,0.567692307692308
NA,hawaii,3,NA,1,1,1,0,0.25,0,1,1,0.51,0.85,0,0.5,0.25,2020,Other Christian,NA,NA,NA,NA,NA,0.566153846153846
NA,NA,4,NA,0,0,0,0,0.5,1,1,0.51,0.51,1,0.51,0,0.25,2020,NA,NA,NA,NA,NA,NA,0.406153846153846
Democrat,idaho,4,NA,0,0,0,0,0.25,0.75,0.34,0.17,0.51,0.51,0.51,0.25,0.25,2020,Mainline,Biden,NA,NA,NA,NA,0.272307692307692
NA,wisconsin,2,NA,1,0,0,1,0.75,1,1,0.85,1,0.51,0.51,0.25,0.25,2020,Mainline,Trump,NA,NA,NA,NA,0.624615384615385
Independent,new york,4,NA,0,0,0,0,0,1,0.51,0.51,0.51,0.51,0.51,0,0,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.273076923076923
NA,texas,3,NA,1,0,0,0,0.5,0.75,0.51,0.51,0.51,0.51,0.51,0,0,2020,Mainline,Trump,NA,NA,NA,NA,0.369230769230769
NA,illinois,3,NA,1,0,1,0,0.75,0.75,0.68,1,0.68,1,1,0.5,0,2020,Evangelical,Biden,NA,NA,NA,NA,0.643076923076923
NA,ohio,4,NA,0,0,0,0,0,0.25,1,0.17,0.68,0.51,0.51,0,0,2020,Not Religious,Biden,NA,NA,NA,NA,0.24
Democrat,arkansas,3,NA,0,0,0,0,0,0.25,0.51,0.17,0.68,0.85,0.51,0.25,0.25,2020,Not Religious,Biden,NA,NA,NA,NA,0.266923076923077
NA,georgia,3,NA,0,0,0,0,0.5,0.75,0.51,NA,0.85,0.51,0.85,0,0,2020,Mainline,Trump,NA,NA,NA,NA,0.330833333333333
NA,texas,1,NA,1,1,1,1,0.5,0.75,NA,0.85,0.68,0.51,0.51,0.25,0.25,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA,0.691666666666667
Democrat,pennsylvania,4,NA,1,1,0,0,0.5,0,0.51,0.51,0.51,0.51,0.51,0.5,0.5,2020,Mainline,Biden,NA,NA,NA,NA,0.465384615384615
Republican,new mexico,2,NA,0,0,0,0,0,1,0.51,1,1,0.85,0.51,0.75,0.25,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA,0.451538461538462
Republican,kansas,2,NA,0,1,0,0,0.75,1,0.51,0.68,0.51,0.68,0,0,0,2020,Evangelical,Trump,NA,NA,NA,NA,0.394615384615385
Independent,california,3,NA,1,0,0,0,0.5,0.75,0.51,0.51,0.51,0.85,0.51,0,0.25,2020,Not Religious,Trump,NA,NA,NA,NA,0.414615384615385
NA,missouri,3,NA,0,1,1,1,0.5,0.5,0.51,0.85,0.85,0.51,0,0.5,0.5,2020,Mainline,Trump,NA,NA,NA,NA,0.593846153846154
Democrat,pennsylvania,3,NA,1,0,0,0,0.5,0.75,0.51,0.51,0.68,1,1,0.75,0.5,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.553846153846154
NA,minnesota,3,NA,0,0,0,0,0,0.5,0.34,0,0.34,0.85,0.51,0,0,2020,Not Religious,Biden,NA,NA,NA,NA,0.195384615384615
Republican,california,2,NA,1,0,1,0,0.25,0.5,0.85,0.85,0.51,0.51,0.85,0.5,0.25,2020,Undifferentiated Protestant,Trump,NA,NA,NA,NA,0.543846153846154
NA,missouri,2,NA,0,0,0,0,0.5,1,0.51,0.51,0.51,1,0.51,0.25,0.25,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.387692307692308
NA,texas,4,1,1,1,1,1,0.5,1,0.85,0.85,0.51,0.85,1,0,0.5,2020,Other Christian,NA,NA,NA,NA,NA,0.773846153846154
NA,virginia,2,NA,1,0,0,0,0,0.75,0.85,0,0.17,0.51,0.51,0,0,2020,Other Religion,Biden,NA,NA,NA,NA,0.291538461538462
NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Evangelical,NA,NA,NA,NA,NA,NA
Republican,NA,3,NA,1,1,0,1,0.5,0.75,0.51,1,1,0.85,0,0.5,0.5,2020,Evangelical,NA,NA,NA,NA,NA,0.662307692307692
Democrat,pennsylvania,3,NA,1,1,1,1,0.5,0.5,0.85,1,1,0.51,0.51,0.75,0.75,2020,Roman Catholic,Jorgensen,NA,NA,NA,NA,0.797692307692308
Republican,arizona,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,Mainline,NA,NA,NA,NA,NA,NA
NA,georgia,3,NA,1,1,1,0,0.5,0.5,0.68,0.51,0.68,0.68,0.51,0,0.25,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.562307692307692
Democrat,new york,4,NA,0,0,0,0,0.25,0.5,0.51,0,1,0.68,0.51,0.25,0,2020,Jewish,Biden,NA,NA,NA,NA,0.284615384615385
NA,ohio,4,NA,1,1,0,1,0.5,0.25,0.85,0.85,0.85,0.85,0.51,0.25,0.25,2020,Not Religious,Biden,NA,NA,NA,NA,0.627692307692308
NA,texas,4,NA,1,1,1,0,0.5,0.25,0.51,0.85,0.85,0.68,0.68,0.25,0.25,2020,Evangelical,Trump,NA,NA,NA,NA,0.601538461538462
NA,NA,3,NA,1,1,1,0,0.25,0.5,0.51,0.17,0.85,0.51,0.51,0,0,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.484615384615385
NA,montana,5,NA,1,1,0,1,0,0.25,0.85,0.51,0.51,0.51,0.51,0,0,2020,Not Religious,NA,NA,NA,NA,NA,0.472307692307692
NA,tennessee,3,NA,1,0,0,0,0,0.5,0.51,0.51,0.51,0.51,0.17,0,0,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.285384615384615
Democrat,louisiana,3,NA,0,0,0,0,0,0.25,0.85,0.34,0.51,1,0,0,0,2020,Not Religious,Biden,NA,NA,NA,NA,0.226923076923077
Independent,new jersey,2,NA,1,0,0,0,0.5,1,0.51,0.51,0.51,0.85,0.51,0.25,0.25,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.453076923076923
Independent,california,3,NA,1,0,1,0,1,0.5,0.51,0.51,0.85,0.51,1,0,0.75,2020,Evangelical,Biden,NA,NA,NA,NA,0.586923076923077
Independent,california,2,NA,0,1,0,0,0.5,0.75,0.51,0.51,0.51,1,1,0.25,0.25,2020,Other Christian,Biden,NA,NA,NA,NA,0.483076923076923
Democrat,california,3,NA,0,0,0,0,0,0,0,0,0.51,0.51,0.51,0,0,2020,Not Religious,Trump,NA,NA,NA,NA,0.117692307692308
Democrat,colorado,3,NA,1,0,0,0,0,0.5,0.51,0,0.85,0.85,0.51,0,0.25,2020,Other Religion,Biden,NA,NA,NA,NA,0.343846153846154
NA,illinois,4,NA,1,1,0,0,0,0,1,1,0.85,0.51,0.51,0,0.5,2020,Evangelical,Biden,NA,NA,NA,NA,0.49
Democrat,california,3,NA,0,0,0,0,0.25,0.75,0.51,0.51,0.51,0.51,0.51,0,0,2020,Other Religion,Biden,NA,NA,NA,NA,0.273076923076923
NA,minnesota,3,NA,1,1,1,1,0.5,0.5,0.85,0.85,0.85,0.85,0.17,0,0.25,2020,Roman Catholic,Biden,NA,NA,NA,NA,0.678461538461538
NA,minnesota,4,2,1,1,1,1,0.5,0.25,0.51,0.85,0.85,0.51,0.85,0,0,2020,Mainline,NA,NA,NA,NA,NA,0.64
Democrat,pennsylvania,3,NA,1,1,1,0,0.25,0.75,0.51,0.51,0.85,0.51,0.51,0.25,0.25,2020,Mainline,Biden,NA,NA,NA,NA,0.568461538461538
Republican,pennsylvania,3,NA,1,0,0,1,0.75,1,0.85,0.85,0.68,0.51,0.51,0.25,0.25,2020,Roman Catholic,Trump,NA,NA,NA,NA,0.588461538461538
NA,NA,4,NA,1,1,1,0,0.25,0.5,0.51,0.85,0.17,0.17,0.51,0.75,0.5,2020,Other Christian,NA,NA,NA,NA,NA,0.554615384615385
Democrat,new york,4,NA,1,1,1,1,0.25,0,0,0,1,0.51,0.51,0.25,0,2020,Roman Catholic,NA,NA,NA,NA,NA,0.501538461538461
Democrat,pennsylvania,3,NA,1,0,0,0,0.75,1,0.85,0.51,0.51,0.85,0.85,0,0.25,2020,Other Christian,Biden,NA,NA,NA,NA,0.505384615384615
Independent,florida,2,NA,1,1,0,0,1,1,1,1,1,1,0.51,0.5,0.25,2020,Jewish,Trump,NA,NA,NA,NA,0.712307692307692
NA,texas,2,NA,1,1,1,1,0.25,1,0.51,0.51,0.51,0.68,0.68,0.5,0.25,2020,Mainline,Biden,NA,NA,NA,NA,0.683846153846154
Democrat,oklahoma,1,NA,0,0,0,0,0.25,1,0.85,1,1,0.85,0.51,0.25,0.25,2020,Mainline,Trump,NA,NA,NA,NA,0.458461538461538
Republican,arizona,2,NA,1,1,1,0,0.25,1,0.51,0.85,0.68,0.85,0,0.75,0.75,2020,Evangelical,Trump,NA,NA,NA,NA,0.664615384615385
Democrat,delaware,3,NA,1,1,0,0,0.25,0.5,0.85,0.85,0.85,0.68,1,0,0,2020,Other Christian,Biden,NA,NA,NA,NA,0.536923076923077
Independent,washington dc,2,NA,1,1,0,1,0,0,0.51,0.51,0.51,0.51,0.51,0.25,0.25,2020,Evangelical,NA,NA,NA,NA,NA,0.465384615384615
NA,indiana,4,NA,1,0,0,0,0,0,1,0.85,0.51,0.51,0.51,0,0,2020,Evangelical,Biden,NA,NA,NA,NA,0.336923076923077
